ID,Adjacent
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-22-23-24-28-29-33-101,26
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-22-23-24-28-29-33-101,25
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-22-23-24-28-29-33-101,34
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-22-23-24-28-29-33-101,35
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-22-23-24-28-29-33-34-101,104
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-22-23-24-28-29-33-34-101,26
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-22-23-24-28-29-33-34-101,25
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-22-23-24-28-29-33-34-101,35
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-22-23-24-28-29-33-34-101-104,26
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-22-23-24-28-29-33-34-101-104,25
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-22-23-24-28-29-33-34-101-104,35
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-22-23-24-28-29-33-34-35,101
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-22-23-24-28-29-33-34-35,26
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-22-23-24-28-29-33-34-35,25
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-22-23-24-28-29-33-34-35-101,104
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-22-23-24-28-29-33-34-35-101,107
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-22-23-24-28-29-33-34-35-101,26
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-22-23-24-28-29-33-34-35-101,25
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-22-23-24-28-29-33-34-35-101-104,107
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-22-23-24-28-29-33-34-35-101-104,26
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-22-23-24-28-29-33-34-35-101-104,25
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-22-23-24-28-29-33-34-35-101-104-107,26
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-22-23-24-28-29-33-34-35-101-104-107,25
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-22-23-24-28-29-33-34-35-101-107,104
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-22-23-24-28-29-33-34-35-101-107,26
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-22-23-24-28-29-33-34-35-101-107,25
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-22-23-24-28-29-33-35-101,107
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-22-23-24-28-29-33-35-101,26
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-22-23-24-28-29-33-35-101,25
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-22-23-24-28-29-33-35-101,34
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-22-23-24-28-33,101
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-22-23-24-28-33,29
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-22-23-24-28-33,26
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-22-23-24-28-33,25
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-22-23-24-28-33,34
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-22-23-24-28-33,35
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-22-23-24-28-33-101,29
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-22-23-24-28-33-101,26
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-22-23-24-28-33-101,25
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-22-23-24-28-33-101,34
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-22-23-24-28-33-101,35
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-22-23-24-28-33-34-101,29
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-22-23-24-28-33-34-101,104
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-22-23-24-28-33-34-101,26
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-22-23-24-28-33-34-101,25
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-22-23-24-28-33-34-101,35
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-22-23-24-28-33-34-101-104,29
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-22-23-24-28-33-34-101-104,26
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-22-23-24-28-33-34-101-104,25
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-22-23-24-28-33-34-101-104,35
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-22-23-24-28-33-34-35,101
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-22-23-24-28-33-34-35,29
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-22-23-24-28-33-34-35,26
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-22-23-24-28-33-34-35,25
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-22-23-24-28-33-34-35-101,29
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-22-23-24-28-33-34-35-101,104
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-22-23-24-28-33-34-35-101,107
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-21-22-23-24-28-33-34-35-101,26
