Strategy,PlayerID,Generation,TeamStatus,SessionStatus,Notes
Synchronic,P108,1,valid,valid,NA
Synchronic,P110,1,valid,valid,NA
Synchronic,P112,1,valid,valid,NA
Synchronic,P114,1,valid,valid,NA
Synchronic,P115,1,valid,valid,NA
Synchronic,P116,1,valid,valid,NA
Synchronic,P152,1,valid,valid,NA
Synchronic,P151,1,valid,valid,NA
Synchronic,P157,1,experiment_error,experiment_error,"Game froze, didnt finish or take survey"
Synchronic,P158,1,experiment_error,experiment_error,"Couldnt finish or take survey , game froze mid way through"
Synchronic,P174,1,valid,valid,NA
Synchronic,P175,1,valid,valid,NA
Synchronic,P176,1,valid,valid,NA
Synchronic,P177,1,valid,valid,NA
Synchronic,P179,1,valid,valid,NA
Synchronic,P180,1,valid,valid,NA
Synchronic,P204,1,valid,valid,NA
Synchronic,P205,1,valid,valid,NA
Synchronic,P211,1,valid,valid,NA
Synchronic,P212,1,valid,valid,NA
Synchronic,P218,1,valid,valid,NA
Synchronic,P219,1,valid,valid,NA
Synchronic,P220,1,valid,valid,NA
Synchronic,P221,1,valid,valid,NA
Synchronic,P227,1,valid,valid,NA
Synchronic,P228,1,valid,valid,NA
Synchronic,P237,1,valid,valid,NA
Synchronic,P238,1,valid,valid,NA
Synchronic,P246,1,valid,valid,NA
Synchronic,P247,1,valid,valid,NA
Synchronic,P253,1,valid,valid,NA
Synchronic,P252,1,valid,valid,NA
Synchronic,P259,1,valid,valid,NA
Synchronic,P261,1,valid,valid,NA
Synchronic,P269,1,bad_teammate,bad_compliance,was playing with phone in the begining
Synchronic,P270,1,bad_teammate,valid,NA
Synchronic,P277,1,valid,valid,NA
Synchronic,P278,1,valid,valid,NA
Synchronic,P318,1,valid,valid,NA
Synchronic,P319,1,valid,valid,NA
Synchronic,P341,1,valid,valid,didn't do survey
Synchronic,P342,1,valid,valid,didn't do survey
Synchronic,P615,1,valid,valid,NA
Synchronic,P614,1,valid,valid,NA
Synchronic,P629,1,valid,valid,NA
Synchronic,P630,1,valid,valid,NA
Synchronic,P632,1,valid,valid,NA
Synchronic,P633,1,valid,valid,NA
Synchronic,P638,1,valid,valid,NA
Synchronic,P639,1,valid,valid,NA
Synchronic,P641,1,valid,valid,NA
Synchronic,P642,1,valid,valid,NA
Synchronic,P647,1,valid,valid,NA
Synchronic,P648,1,valid,valid,NA
Synchronic,P661,1,valid,valid,NA
Synchronic,P662,1,valid,valid,NA
Synchronic,P663,1,valid,valid,NA
Synchronic,P664,1,valid,valid,NA
Synchronic,P669,1,valid,valid,NA
Synchronic,P670,1,valid,valid,NA
Synchronic,P673,1,valid,valid,NA
Synchronic,P674,1,valid,valid,NA
Synchronic,P677,1,valid,valid,NA
Synchronic,P678,1,valid,valid,NA
Synchronic,P680,1,valid,valid,NA
Synchronic,P681,1,valid,valid,NA
Synchronic,P684,1,valid,valid,NA
Synchronic,P685,1,valid,valid,NA
Synchronic,P688,1,valid,valid,NA
Synchronic,P689,1,valid,valid,NA
Synchronic,P693,1,valid,valid,NA
Synchronic,P694,1,valid,valid,NA
Synchronic,P777,1,valid,valid,NA
Synchronic,P778,1,valid,valid,NA
Isolated,P19,1,valid,valid,NA
Isolated,P20,1,valid,valid,NA
Isolated,P21,1,valid,valid,NA
Isolated,P22,1,valid,valid,NA
Isolated,P29,1,valid,valid,NA
Isolated,P30,1,valid,valid,NA
Isolated,P31,1,valid,valid,NA
Isolated,P32,1,valid,valid,NA
Isolated,P41,1,valid,valid,NA
Isolated,P42,1,valid,valid,NA
Isolated,P43,1,valid,valid,NA
Isolated,P44,1,valid,valid,NA
Isolated,P45,1,valid,valid,NA
Isolated,P46,1,valid,valid,NA
Isolated,P47,1,valid,valid,NA
Isolated,P48,1,valid,valid,NA
Isolated,P49,1,valid,valid,NA
Isolated,P50,1,valid,valid,NA
Isolated,P83,1,valid,valid,NA
Isolated,P84,1,valid,valid,NA
Isolated,P85,1,valid,valid,NA
Isolated,P156,1,valid,valid,NA
Isolated,P181,1,valid,valid,NA
Isolated,P182,1,valid,valid,NA
Isolated,P183,1,valid,valid,NA
Isolated,P184,1,valid,valid,NA
Isolated,P185,1,bad_compliance,bad_compliance,Got frustrated but participated fully
Isolated,P187,1,valid,valid,NA
Isolated,P188,1,valid,valid,NA
Isolated,P189,1,valid,valid,NA
Isolated,P190,1,valid,valid,NA
Isolated,P191,1,valid,valid,NA
Isolated,P192,1,valid,valid,NA
Isolated,P193,1,bad_compliance,bad_compliance,"Sat for ~5 minutes just staring at the screen, then basically just gave up in the end"
Isolated,P263,1,valid,valid,NA
Isolated,P264,1,valid,valid,NA
Isolated,P265,1,valid,valid,NA
Isolated,P266,1,valid,valid,NA
Isolated,P267,1,valid,valid,NA
Isolated,P268,1,valid,valid,NA
