Strategy,TeamID,PlayerID,SessionID,Generation,TeamStatus,SessionStatus,Notes
Diachronic,G30,P55,S55,2,valid,valid,NA
Diachronic,G30,P581,S581,3,valid,valid,NA
Diachronic,G30,P605,S605,4,valid,valid,NA
Diachronic,G31,P56,S56,1,valid,valid,NA
Diachronic,G31,P61,S61,2,valid,valid,NA
Diachronic,G31,P580,S580,3,valid,valid,NA
Diachronic,G31,P606,S606,4,valid,valid,NA
Diachronic,G36,P66,S66,1,valid,valid,NA
Diachronic,G36,P200,S200,2,valid,valid,NA
Diachronic,G36,P214,S214,3,valid,valid,NA
Diachronic,G36,P271,S271,4,valid,valid,NA
Diachronic,G38,P71,S71,1,valid,valid,NA
Diachronic,G38,P155,S155,2,valid,valid,NA
Diachronic,G38,P203,S203,3,valid,valid,NA
Diachronic,G38,P235,S235,4,valid,valid,NA
Diachronic,G4,P18,S18,1,valid,valid,NA
Diachronic,G4,P27,S27,2,valid,valid,NA
Diachronic,G4,P537,S537,3,valid,valid,NA
Diachronic,G4,P590,S590,4,valid,valid,NA
Diachronic,G41,P75,S75,1,valid,valid,NA
Diachronic,G41,P159,S159,2,valid,valid,NA
Diachronic,G41,P206,S206,3,valid,valid,NA
Diachronic,G41,P236,S236,4,valid,valid,NA
Diachronic,G43,P81,S81,1,valid,valid,NA
Diachronic,G43,P167,S167,2,valid,valid,NA
Diachronic,G43,P207,S207,3,valid,valid,NA
Diachronic,G43,P239,S239,4,valid,valid,NA
Diachronic,G47,P86,S86,1,incomplete_team,valid,NA
Diachronic,G47,P573,S573,3,experiment_error,experiment_error,Experiment went long. Possibly ran as Isolated by accident?
Diachronic,G48,P88,S88,1,valid,valid,NA
Diachronic,G48,P171,S171,2,valid,valid,NA
Diachronic,G48,P208,S208,3,valid,valid,NA
Diachronic,G48,P240,S240,4,valid,valid,NA
Diachronic,G49,P90,S90,1,valid,valid,NA
Diachronic,G49,P172,S172,2,valid,valid,NA
Diachronic,G49,P209,S209,3,valid,valid,NA
Diachronic,G49,P254,S254,4,valid,valid,NA
Diachronic,G50,P92,S92,1,valid,valid,NA
Diachronic,G50,P173,S173,2,valid,valid,NA
Diachronic,G50,P210,S210,3,valid,valid,NA
Diachronic,G50,P260,S260,4,valid,valid,NA
Diachronic,G51,P95,S95,1,bad_ancestor,bad_compliance,visibly frustrated but fully participated
Diachronic,G51,P178,S178,2,bad_ancestor,valid,NA
Diachronic,G51,P213,S213,3,bad_ancestor,valid,NA
Diachronic,G51,P262,S262,4,bad_ancestor,valid,NA
Diachronic,G52,P97,S97,1,valid,valid,NA
Diachronic,G52,P98,S98,2,valid,valid,NA
Diachronic,G52,P574,S574,3,valid,valid,NA
Diachronic,G52,P594,S594,4,valid,valid,NA
Diachronic,G54,P101,S101,1,valid,valid,NA
Diachronic,G54,P106,S106,2,valid,valid,NA
Diachronic,G54,P507,S507,3,valid,valid,NA
Diachronic,G54,P596,S596,4,valid,valid,NA
Diachronic,G57,P107,S107,1,valid,valid,NA
Diachronic,G57,P109,S109,2,valid,valid,NA
Diachronic,G57,P505,S505,3,valid,valid,NA
Diachronic,G57,P588,S588,4,valid,valid,NA
Diachronic,G59,P111,S111,1,valid,valid,NA
Diachronic,G59,P113,S113,2,valid,valid,NA
Diachronic,G59,P504,S504,3,valid,valid,NA
Diachronic,G59,P586,S586,4,valid,valid,NA
Diachronic,G62,P117,S117,1,valid,valid,NA
Diachronic,G62,P118,S118,2,valid,valid,NA
Diachronic,G62,P506,S506,3,valid,valid,NA
Diachronic,G62,P587,S587,4,valid,valid,NA
Diachronic,G63,P119,S119,1,bad_ancestor,bad_compliance,Needed instructions given to him a second time after game started
Diachronic,G63,P120,S120,2,bad_ancestor,valid,NA
Diachronic,G63,P583,S583,3,bad_ancestor,valid,NA
Diachronic,G63,P598,S598,4,bad_ancestor,valid,NA
Diachronic,G64,P121,S121,1,valid,valid,NA
Diachronic,G64,P124,S124,2,valid,valid,NA
Diachronic,G64,P582,S582,3,valid,valid,NA
Diachronic,G64,P604,S604,4,valid,valid,NA
Diachronic,G65,P125,S125,1,valid,valid,NA
Diachronic,G65,P126,S126,2,valid,valid,NA
Diachronic,G65,P562,S562,3,valid,valid,NA
Diachronic,G65,P607,S607,4,valid,valid,NA
Diachronic,G66,P128,S128,1,bad_ancestor,valid,NA
Diachronic,G66,P194,S194,2,bad_ancestor,valid,NA
Diachronic,G66,P215,S215,3,bad_ancestor,bad_compliance,"Stopped trying after he finished making the items the ancestor made (ancestor had 1199 points, so that took up most of his time)"
Diachronic,G66,P272,S272,4,bad_ancestor,valid,NA
Diachronic,G67,P130,S130,1,valid,valid,NA
Diachronic,G67,P132,S132,2,valid,valid,NA
Diachronic,G67,P561,S561,3,valid,valid,NA
Diachronic,G67,P608,S608,4,valid,valid,NA
Diachronic,G68,P135,S135,1,bad_ancestor,valid,NA
Diachronic,G68,P195,S195,2,bad_ancestor,valid,NA
Diachronic,G68,P216,S216,3,bad_ancestor,bad_compliance,Didn't get up to the same level as her ancestor
Diachronic,G68,P279,S279,4,bad_ancestor,valid,NA
Diachronic,G69,P137,S137,1,valid,valid,NA
Diachronic,G69,P196,S196,2,valid,valid,NA
Diachronic,G69,P217,S217,3,valid,valid,NA
Diachronic,G69,P280,S280,4,valid,valid,NA
Diachronic,G70,P139,S139,1,valid,valid,NA
Diachronic,G70,P197,S197,2,valid,valid,NA
Diachronic,G70,P222,S222,3,valid,valid,NA
Diachronic,G70,P297,S297,4,valid,valid,NA
Diachronic,G71,P147,S147,1,valid,valid,NA
Diachronic,G71,P148,S148,2,valid,valid,NA
Diachronic,G71,P539,S539,3,valid,valid,NA
Diachronic,G71,P609,S609,4,valid,valid,NA
Diachronic,G72,P149,S149,1,valid,valid,NA
Diachronic,G72,P150,S150,2,valid,valid,NA
