Strategy,PlayerID,TeamID,Generation,TeamStatus,SessionStatus,Notes
Synchronic,P60,G33,1,valid,valid,NA
Synchronic,P62,G34,1,valid,valid,NA
Synchronic,P63,G34,1,valid,valid,NA
Synchronic,P64,G35,1,valid,valid,NA
Synchronic,P65,G35,1,valid,valid,NA
Synchronic,P69,G37,1,valid,valid,NA
Synchronic,P70,G37,1,valid,valid,NA
Synchronic,P72,G39,1,valid,valid,NA
Synchronic,P74,G39,1,valid,valid,NA
Synchronic,P76,G40,1,valid,valid,NA
Synchronic,P79,G42,1,valid,valid,NA
Synchronic,P78,G40,1,valid,valid,NA
Synchronic,P80,G42,1,valid,valid,NA
Synchronic,P99,G53,1,valid,valid,NA
Synchronic,P100,G53,1,valid,valid,NA
Synchronic,P102,G55,1,valid,valid,NA
Synchronic,P103,G55,1,valid,valid,NA
Synchronic,P104,G56,1,valid,valid,NA
Synchronic,P105,G56,1,valid,valid,NA
Synchronic,P108,G58,1,valid,valid,NA
Synchronic,P110,G58,1,valid,valid,NA
Synchronic,P112,G60,1,valid,valid,NA
Synchronic,P114,G60,1,valid,valid,NA
Synchronic,P115,G61,1,valid,valid,NA
Synchronic,P116,G61,1,valid,valid,NA
Synchronic,P152,G73,1,valid,valid,NA
Synchronic,P151,G73,1,valid,valid,NA
Synchronic,P157,G77,1,experiment_error,experiment_error,"Game froze, didnt finish or take survey"
Synchronic,P158,G77,1,experiment_error,experiment_error,"Couldnt finish or take survey , game froze mid way through"
Synchronic,P174,G84,1,valid,valid,NA
Synchronic,P175,G84,1,valid,valid,NA
Synchronic,P176,G85,1,valid,valid,NA
Synchronic,P177,G85,1,valid,valid,NA
Synchronic,P179,G86,1,valid,valid,NA
Synchronic,P180,G86,1,valid,valid,NA
Synchronic,P204,G101,1,valid,valid,NA
Synchronic,P205,G101,1,valid,valid,NA
Synchronic,P211,G102,1,valid,valid,NA
Synchronic,P212,G102,1,valid,valid,NA
Synchronic,P218,G103,1,valid,valid,NA
Synchronic,P219,G103,1,valid,valid,NA
Synchronic,P220,G104,1,valid,valid,NA
Synchronic,P221,G104,1,valid,valid,NA
Synchronic,P227,G106,1,valid,valid,NA
Synchronic,P228,G106,1,valid,valid,NA
Synchronic,P237,G108,1,valid,valid,NA
Synchronic,P238,G108,1,valid,valid,NA
Synchronic,P246,G111,1,valid,valid,NA
Synchronic,P247,G111,1,valid,valid,NA
Synchronic,P253,G113,1,valid,valid,NA
Synchronic,P252,G113,1,valid,valid,NA
Synchronic,P259,G115,1,valid,valid,NA
Synchronic,P261,G115,1,valid,valid,NA
Synchronic,P269,G122,1,bad_teammate,bad_compliance,was playing with phone in the begining
Synchronic,P270,G122,1,bad_teammate,valid,NA
Synchronic,P277,G124,1,valid,valid,NA
Synchronic,P278,G124,1,valid,valid,NA
Synchronic,P318,G136,1,valid,valid,NA
Synchronic,P319,G136,1,valid,valid,NA
Synchronic,P341,G144,1,valid,valid,didn't do survey
Synchronic,P342,G144,1,valid,valid,didn't do survey
Synchronic,P615,G207,1,valid,valid,NA
Synchronic,P614,G207,1,valid,valid,NA
Synchronic,P629,G212,1,valid,valid,NA
